id,commit,build,exec_time,comment,fix,lastFix
255,4a2f8d21,FAIL,2,Timezone data 2010o,{'lastFix': None},
256,f35cde21,FAIL,1,Javadoc fix in PeriodFormatterBuilder [3100939],{'lastFix': None},
257,e0559c50,FAIL,2,Period formatter builder append(PeriodFormatter) did not handle some case [2495455] test from Bjoern Ricks,{'lastFix': None},
258,d090b642,FAIL,2,Better Javadoc of DateTimeZone.default behaviour,{'lastFix': None},
259,a7416aad,FAIL,2,DateTimeZone.forID(String) now case-sensitive Use ConcurrentHashMap instead of synchronized,{'lastFix': None},
260,a7ab046b,FAIL,1,Don't generate broken source links [3073905],{'lastFix': None},
261,f52ef7ef,FAIL,1,Duration.toString Fixed to work correctly for negative values,{'lastFix': None},
262,b835259e,FAIL,2,Document algorithm for default time-zone,{'lastFix': None},
263,1cce276a,FAIL,1,Use latest junit,{'lastFix': None},
264,df5d1647,FAIL,2,"Fix DateTimeZone.getDefault [3048468,3056104] Handle missing user.timezone system property on Android that resulted in stack overflow investigated by/patch suggeted by Matias Brunstein Macri",{'lastFix': None},
265,43e7029f,FAIL,1,Fix maven tests to work in German locale patch from Ansgar Konermann,{'lastFix': None},
266,06067d37,FAIL,2,Add Joda-Convert,{'lastFix': None},
267,b4363369,FAIL,2,Avoid lots of deprecation messages,{'lastFix': None},
268,ed780810,FAIL,1,Include build.xml in src distribution,{'lastFix': None},
269,6895dca6,FAIL,2,Include PeriodFormat properties in jar file; Enhance generation of time zone files,{'lastFix': None},
270,01ed04f3,FAIL,2,Reduce logging from ZoneInfoCompiler by adding a verbose flag,{'lastFix': None},
271,af371a8f,FAIL,1,Javadoc fixes,{'lastFix': None},
272,0d15017c,FAIL,2,Update time zone data to 2010l,{'lastFix': None},
273,94bdce1b,FAIL,1,Add JSR-310 note,{'lastFix': None},
274,3cfb67b8,FAIL,2,Supress warnings from JDK Date class,{'lastFix': None},
275,16834a41,FAIL,2,Reinstate LocalDate deprecated methods as the binary incompatibility isn't worth the hassle,{'lastFix': None},
276,1129d946,FAIL,1,Fix generics implementation to retain binary compatibility,{'lastFix': None},
277,0109c433,FAIL,2,Add multi-language word-based period formatting [1252708] based on idea and code from Ricardo Trindade,{'lastFix': None},
278,261d08e3,FAIL,1,Add Jollyday,{'lastFix': None},
279,365fdb19,FAIL,2,Update time zone to 2010k,{'lastFix': None},
280,59383119,FAIL,2,Minor fixes,{'lastFix': None},
281,103b3d36,FAIL,2,Fix whitespace,{'lastFix': None},
282,d8649e08,FAIL,1,Convert to Maven 2,{'lastFix': None},
283,304f89cd,FAIL,3,Pickup changes from building 1.6.1,{'lastFix': None},
284,d22dc4c4,FAIL,1,Convert to Maven 2,{'lastFix': None},
285,5a174fc3,FAIL,2,Remove email addresses,{'lastFix': None},
286,8e0c77b2,FAIL,1,Convert to Maven 2,{'lastFix': None},
287,83f1a741,FAIL,2,Convert to maven 2,{'lastFix': None},
288,0e1c060a,FAIL,2,Convert to Maven 2,{'lastFix': None},
289,a62f8f4a,FAIL,1,Convert to maven 2,{'lastFix': None},
290,e57d57d5,FAIL,2,Convert to Maven 2,{'lastFix': None},
291,53feb3fa,FAIL,1,Convert to maven 2,{'lastFix': None},
292,7fa2ceaf,FAIL,2,Convert to Maven 2,{'lastFix': None},
293,3af77190,FAIL,2,Convert to Maven 2,{'lastFix': None},
294,44efdb23,FAIL,1,Convert to Maven 2,{'lastFix': None},
295,d358df17,FAIL,2,Convert to Maven 2,{'lastFix': None},
296,39562dc9,FAIL,1,Convert to Maven 2,{'lastFix': None},
297,0f951f39,FAIL,1,Fixes ported from working on v1.6.1,{'lastFix': None},
298,80537525,FAIL,2,Update TODO,{'lastFix': None},
299,a625a750,FAIL,1,Avoid backwards incompatibilty by sacrificing Javadoc,{'lastFix': None},
300,633dba46,FAIL,1,Add includeantruntime to build.xml,{'lastFix': None},
301,1c721be9,FAIL,1,Fix time zone compiler to handle 24:00 [2804258],{'lastFix': None},
302,c5d170d5,FAIL,1,Update time zone data to 2010i,{'lastFix': None},
303,05574876,FAIL,1,Add since tags,{'lastFix': None},
